country_code,country_name,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11
LBY,Libya,0.0,0.0,10.0,51.0,95.0,668.0,2797.0,10345.0,20559.0,26570.0,21714.0,17468.0,18354.0,14707.0,25619.0,18551.0,8268.0,7698.0,55640.0,59858.0,31112.0,17254.0,15298.0
LIE,Liechtenstein,0.0,0.0,69.0,14.0,0.0,0.0,6.0,19.0,12.0,456.0,736.0,909.0,344.0,83.0,105.0,268.0,82.0,28.0,56.0,204.0,166.0,105.0,1016.0
LKA,Sri Lanka,1.0,0.0,142.0,520.0,970.0,414.0,768.0,234.0,331.0,7283.0,13324.0,19312.0,20858.0,18937.0,9612.0,15440.0,78218.0,72725.0,49723.0,131490.0,77075.0,23696.0,22916.0
LSO,Lesotho,0.0,0.0,0.0,0.0,2.0,25.0,577.0,481.0,510.0,358.0,156.0,985.0,5570.0,1827.0,215.0,25.0,100.0,513.0,1564.0,1487.0,0.0,7240.0,144.0
LTU,Lithuania,0.0,1.0,467.0,907.0,292.0,145.0,257.0,831.0,1788.0,10127.0,46496.0,80644.0,40588.0,16602.0,16974.0,31150.0,27114.0,4386.0,4049.0,16007.0,32858.0,77032.0,61583.0
LUX,Luxembourg,0.0,1.0,2177.0,1606.0,234.0,281.0,2396.0,-70.0,1884.0,8625.0,17544.0,11737.0,3973.0,4722.0,6532.0,5563.0,2727.0,855.0,3083.0,1890.0,2459.0,3464.0,7498.0
LVA,Latvia,0.0,0.0,398.0,460.0,208.0,52.0,113.0,165.0,428.0,4070.0,11181.0,23829.0,25337.0,19945.0,16177.0,16195.0,14641.0,4230.0,1434.0,3774.0,15654.0,60848.0,34520.0
MAC,Macao,7.0,3.0,31.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,2.0,3.0,5.0,4.0,8.0,6.0,0.0
MAR,Morocco,0.0,0.0,617.0,3806.0,3384.0,4726.0,11789.0,38268.0,61063.0,95431.0,137252.0,82857.0,31964.0,12497.0,12443.0,15152.0,7967.0,12145.0,92167.0,237420.0,72123.0,13074.0,3772.0
MCO,Monaco,0.0,1.0,51.0,43.0,4.0,4.0,17.0,34.0,64.0,141.0,250.0,266.0,614.0,467.0,332.0,166.0,50.0,73.0,312.0,312.0,113.0,100.0,324.0
MDA,Moldova,0.0,0.0,353.0,3544.0,4354.0,8362.0,8120.0,12187.0,16122.0,22998.0,31324.0,37454.0,14986.0,25649.0,44788.0,20596.0,4349.0,1548.0,2744.0,8048.0,26866.0,43376.0,26006.0
MDG,Madagascar,0.0,0.0,57.0,71.0,643.0,1443.0,8654.0,3995.0,1545.0,703.0,230.0,373.0,1351.0,766.0,4595.0,12588.0,4328.0,874.0,447.0,206.0,29.0,728.0,704.0
MEX,Mexico,0.0,4.0,1211.0,18009.0,71440.0,135425.0,198548.0,174923.0,143656.0,181746.0,188581.0,312551.0,438166.0,222678.0,151949.0,105868.0,68987.0,105527.0,328983.0,504158.0,311813.0,142988.0,77355.0
MLI,Mali,0.0,0.0,28.0,462.0,775.0,916.0,354.0,241.0,342.0,436.0,1156.0,2380.0,1001.0,285.0,1666.0,3816.0,409.0,159.0,158.0,305.0,330.0,854.0,1361.0
MLT,Malta,0.0,0.0,169.0,296.0,153.0,52.0,154.0,1059.0,1175.0,2984.0,3831.0,2901.0,5129.0,4579.0,6551.0,1259.0,243.0,88.0,3672.0,1876.0,978.0,504.0,1782.0
MMR,Myanmar,0.0,0.0,15.0,136.0,73.0,75.0,54.0,529.0,12491.0,39333.0,38007.0,33917.0,15515.0,1751.0,538.0,383.0,812.0,13648.0,141908.0,100097.0,64794.0,35997.0,22329.0
MNG,Mongolia,0.0,0.0,12.0,26.0,141.0,41.0,71.0,13.0,9.0,33.0,455.0,419.0,594.0,1138.0,5889.0,28444.0,21154.0,57039.0,48677.0,49665.0,90264.0,56233.0,21765.0
MOZ,Mozambique,0.0,0.0,8.0,68.0,178.0,635.0,975.0,2052.0,4812.0,4141.0,2832.0,2941.0,20012.0,20696.0,8229.0,2338.0,878.0,5609.0,45624.0,24288.0,4407.0,569.0,256.0
MRT,Mauritania,0.0,0.0,6.0,2.0,522.0,3833.0,1947.0,738.0,454.0,201.0,898.0,5763.0,2271.0,572.0,640.0,555.0,1145.0,1261.0,4883.0,7889.0,2450.0,1290.0,1946.0
MUS,Mauritius,0.0,0.0,143.0,189.0,3.0,6.0,3.0,12.0,25.0,60.0,63.0,23.0,42.0,41.0,418.0,181.0,166.0,523.0,2015.0,6763.0,5019.0,2003.0,3845.0
MWI,Malawi,0.0,0.0,0.0,37.0,247.0,940.0,2854.0,1488.0,207.0,157.0,98.0,555.0,17380.0,7982.0,1606.0,527.0,260.0,1788.0,16221.0,8147.0,1086.0,216.0,120.0
MYS,Malaysia,8.0,21.0,2737.0,3236.0,1817.0,820.0,337.0,364.0,1884.0,20324.0,34149.0,47313.0,101949.0,85793.0,44748.0,63213.0,163644.0,179622.0,361293.0,632982.0,499441.0,225947.0,161140.0
NAM,Namibia,0.0,0.0,11.0,5.0,8.0,181.0,1924.0,5421.0,3715.0,1670.0,1445.0,9561.0,10003.0,4901.0,5294.0,4212.0,7198.0,34368.0,29005.0,6124.0,2543.0,1338.0,260.0
NER,Niger,0.0,0.0,27.0,692.0,239.0,117.0,59.0,42.0,21.0,23.0,328.0,1775.0,1194.0,223.0,261.0,227.0,182.0,79.0,134.0,226.0,159.0,358.0,641.0
NGA,Nigeria,0.0,1.0,134.0,1797.0,8230.0,15532.0,17457.0,10857.0,4840.0,4005.0,4704.0,20050.0,43635.0,24415.0,7234.0,2219.0,1408.0,1100.0,6290.0,18523.0,13348.0,6182.0,2257.0
NIC,Nicaragua,0.0,0.0,5.0,9.0,745.0,1760.0,1153.0,822.0,676.0,344.0,270.0,262.0,207.0,192.0,232.0,221.0,426.0,854.0,1292.0,2265.0,2713.0,1974.0,832.0
NLD,Netherlands,0.0,6.0,12589.0,26721.0,7126.0,3831.0,4028.0,16366.0,50178.0,230333.0,172300.0,273503.0,181494.0,110215.0,183926.0,223736.0,153108.0,35540.0,180511.0,75544.0,61995.0,129002.0,511124.0
NOR,Norway,0.0,15.0,4626.0,3097.0,702.0,439.0,361.0,1542.0,3245.0,6304.0,15819.0,13417.0,13399.0,8040.0,25073.0,16891.0,12146.0,6200.0,6311.0,22547.0,29257.0,17849.0,60563.0
NPL,Nepal,1.0,0.0,4.0,52.0,1515.0,11992.0,6207.0,19689.0,38357.0,92926.0,62709.0,27141.0,10366.0,3184.0,3166.0,45878.0,238115.0,77503.0,56584.0,67258.0,32414.0,17509.0,8796.0
NZL,New Zealand,0.0,1.0,646.0,832.0,25.0,24.0,34.0,190.0,96.0,111.0,100.0,103.0,142.0,74.0,123.0,112.0,60.0,69.0,131.0,696.0,722.0,2303.0,5129.0
OMN,Oman,0.0,6.0,186.0,2156.0,9089.0,28633.0,39089.0,6563.0,12863.0,15849.0,9265.0,5168.0,5459.0,7170.0,17722.0,34035.0,23971.0,51321.0,27312.0,6443.0,1469.0,522.0,263.0
PAK,Pakistan,0.0,4.0,2114.0,15996.0,54346.0,141010.0,64835.0,17544.0,16957.0,21164.0,66512.0,81696.0,64250.0,34937.0,91566.0,152588.0,97305.0,35584.0,76429.0,128851.0,82850.0,27022.0,11694.0
PAN,Panama,0.0,0.0,1181.0,5351.0,6931.0,20087.0,31706.0,27726.0,19613.0,21003.0,32208.0,80984.0,73589.0,20536.0,14136.0,9525.0,13521.0,25681.0,31877.0,21832.0,9626.0,5551.0,5078.0
PER,Peru,0.0,0.0,1065.0,35911.0,127500.0,120737.0,122279.0,239674.0,164602.0,88412.0,62350.0,52607.0,123102.0,185624.0,224944.0,250638.0,156024.0,96596.0,59328.0,38198.0,25714.0,26491.0,34555.0
PHL,Philippines,1.0,2.0,2081.0,6404.0,9598.0,19428.0,55840.0,127465.0,90875.0,69035.0,50901.0,42434.0,51554.0,50734.0,170936.0,290172.0,192841.0,182258.0,176406.0,400892.0,560109.0,237310.0,45458.0
PNG,Papua New Guinea,0.0,0.0,1.0,7.0,0.0,3.0,61.0,387.0,75.0,55.0,67.0,124.0,71.0,424.0,4716.0,5006.0,4913.0,1188.0,619.0,121.0,2383.0,9494.0,5464.0
POL,Poland,0.0,0.0,2311.0,10566.0,10909.0,10607.0,11295.0,21684.0,24142.0,271217.0,628080.0,304067.0,218507.0,193601.0,614731.0,470425.0,80141.0,7629.0,3027.0,5731.0,18401.0,118176.0,514814.0
PRI,Puerto Rico,0.0,0.0,239.0,710.0,339.0,405.0,4304.0,9479.0,8524.0,10138.0,18407.0,23746.0,17333.0,6673.0,7173.0,24486.0,6801.0,1301.0,6743.0,24025.0,10422.0,4034.0,3166.0
PRT,Portugal,0.0,0.0,7443.0,17602.0,7455.0,9641.0,8931.0,6940.0,17530.0,65737.0,156782.0,115617.0,306838.0,84046.0,17160.0,14771.0,12600.0,30464.0,89074.0,69296.0,31352.0,21372.0,56598.0
PRY,Paraguay,0.0,0.0,69.0,197.0,720.0,1235.0,3117.0,12324.0,23096.0,22427.0,19239.0,25508.0,25295.0,26247.0,55193.0,64410.0,76307.0,67898.0,29106.0,6140.0,1439.0,1039.0,2052.0
PSE,Palestine,0.0,0.0,119.0,225.0,104.0,1980.0,9409.0,10892.0,17170.0,13621.0,32127.0,52357.0,20958.0,24650.0,58741.0,54109.0,11888.0,5817.0,2571.0,25544.0,61434.0,49281.0,7056.0
QAT,Qatar,0.0,1.0,780.0,12628.0,43501.0,39178.0,14607.0,8083.0,6982.0,6796.0,6277.0,5001.0,7501.0,12329.0,16300.0,25688.0,11806.0,4613.0,4168.0,6505.0,3899.0,2604.0,4200.0
