country_name,country_code,2020-12_gov,2020-12_cases,Cluster
Nicaragua,NIC,10.94,5.572154032177765,3
Netherlands,NLD,62.45,12.519071525965744,2
Norway,NOR,53.42,9.504352368122833,2
Nepal,NPL,50.06,10.208837622641315,1
New Zealand,NZL,37.5,4.6443908991413725,3
Oman,OMN,49.73,8.550434525196039,1
Pakistan,PAK,67.45,11.310772560467667,2
Panama,PAN,68.87,11.302019231320497,2
Peru,PER,66.34,10.870623478415851,2
Philippines,PHL,63.71,10.655728772403778,2
Papua New Guinea,PNG,40.02,4.8283137373023015,3
Poland,POL,70.05,12.625006639585303,2
Puerto Rico,PRI,66.31,10.075211485694803,2
Portugal,PRT,65.52,11.658046932441533,2
Paraguay,PRY,57.46,10.146786610053903,2
Palestine,PSE,44.35,10.865860022197287,1
Qatar,QAT,61.56,8.517593111437565,0
Kosovo,RKS,70.23,9.354354132115088,2
Romania,ROU,73.12,11.963376685612475,2
Russia,RUS,52.14,13.654651426709563,2
Rwanda,RWA,62.3,7.803843303538772,0
Saudi Arabia,SAU,59.71,8.590815331286851,0
Sudan,SDN,24.77,8.916774356365426,1
Senegal,SEN,39.58,8.023552392404348,1
Singapore,SGP,61.22,5.945420608606575,0
Solomon Islands,SLB,31.47,0.0,3
Sierra Leone,SLE,38.02,5.298317366548036,3
El Salvador,SLV,54.17,8.895903562215581,0
San Marino,SMR,60.54,6.586171654854675,0
Somalia,SOM,32.24,5.575949103146316,3
Serbia,SRB,59.81,11.99834712319432,2
South Sudan,SSD,40.95,6.1092475827643655,1
Suriname,SUR,62.25,6.80128303447162,0
Slovak Republic,SVK,71.41,11.939871529753665,2
Slovenia,SVN,74.81,10.743739218124693,2
Sweden,SWE,59.39,12.17690641622179,2
Eswatini,SWZ,46.77,7.986164860332727,1
Seychelles,SYC,34.38,4.007333185232471,3
Syria,SYR,29.82,8.17413934342947,1
Chad,TCD,55.61,6.054439346269371,0
Togo,TGO,58.42,6.492239835020471,0
Thailand,THA,59.8,8.057060681965766,0
Tajikistan,TJK,40.1,7.32052696227274,1
Turkmenistan,TKM,46.84,0.0,3
Timor-Leste,TLS,33.28,2.70805020110221,3
Tonga,TON,31.64,0.0,3
Trinidad and Tobago,TTO,56.42,6.1779441140506,0
Tunisia,TUN,64.09,10.654243045716386,2
Turkey,TUR,69.18,14.266462602810494,2
Taiwan,TWN,35.42,4.8283137373023015,3
Tanzania,TZA,10.69,0.0,3
Uganda,UGA,39.37,9.599540587618312,1
Ukraine,UKR,59.24,12.72085542940029,2
Uruguay,URY,60.01,9.492733482494353,2
United States,USA,67.98,15.683785598751246,2
Uzbekistan,UZB,43.21,8.28576542051433,1
Venezuela,VEN,67.09,9.320539164274258,2
United States Virgin Islands,VIR,48.44,6.20050917404269,1
Vietnam,VNM,56.64,4.77912349311153,0
Vanuatu,VUT,28.35,0.0,3
Yemen,YEM,18.97,3.1354942159291497,3
South Africa,ZAF,59.22,12.49559552266093,2
Zambia,ZMB,47.04,8.0323601479245,1
Zimbabwe,ZWE,51.51,8.273336598504486,1
