CountryName_x,CountryCode_x,RegionName,RegionCode_x,Jurisdiction,Date,C1_School closing,C1_Flag,C2_Workplace closing,C2_Flag,C3_Cancel public events,C3_Flag,C4_Restrictions on gatherings,C4_Flag,C5_Close public transport,C5_Flag,C6_Stay at home requirements,C6_Flag,C7_Restrictions on internal movement,C7_Flag,C8_International travel controls,E1_Income support,E1_Flag,E2_Debt/contract relief,E3_Fiscal measures,E4_International support,H1_Public information campaigns,H1_Flag,H2_Testing policy,H3_Contact tracing,H4_Emergency investment in healthcare,H5_Investment in vaccines,H6_Facial Coverings,H6_Flag,H7_Vaccination policy,H7_Flag,H8_Protection of elderly people,H8_Flag,M1_Wildcard,V1_Vaccine Prioritisation (summary),V2A_Vaccine Availability (summary),V2B_Vaccine age eligibility/availability age floor (general population summary),V2C_Vaccine age eligibility/availability age floor (at risk summary),V2D_Medically/ clinically vulnerable (Non-elderly),V2E_Education,V2F_Frontline workers  (non healthcare),V2G_Frontline workers  (healthcare),V3_Vaccine Financial Support (summary),ConfirmedCases,ConfirmedDeaths,StringencyIndex,StringencyIndexForDisplay,StringencyLegacyIndex,StringencyLegacyIndexForDisplay,GovernmentResponseIndex,GovernmentResponseIndexForDisplay,ContainmentHealthIndex,ContainmentHealthIndexForDisplay,EconomicSupportIndex,EconomicSupportIndexForDisplay,CountryName_y,CountryCode_y,RegionCode_y,population,population_male,population_female,population_rural,population_urban,population_largest_city,population_clustered,population_density,human_development_index,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,ConfirmedCasesAtEOM,ConfirmedDeathsAtEOM
United States,USA,Connecticut,US_CT,STATE_TOTAL,2020-07-31,3.0,0.0,2.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,3.0,1.0,1.0,2.0,,,2.0,1.0,3.0,2.0,,,3.0,1.0,0.0,,3.0,1.0,,,,,,,,,,,49810.0,4432.0,70.37,70.37,81.67,81.67,72.4,72.4,72.02,72.02,75.0,75.0,United States,USA,US_CT,3605944.0,1818390.0,1933634.0,,,,,,,416756.0,474984.0,464289.0,464250.0,499839.0,515148.0,456067.0,277479.0,183211.0,49810.0,4432.0
United States,USA,Connecticut,US_CT,STATE_TOTAL,2020-08-31,2.0,0.0,2.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,0.0,2.0,1.0,3.0,1.0,1.0,2.0,,,2.0,1.0,3.0,2.0,,,3.0,1.0,0.0,,3.0,1.0,,,,,,,,,,,52879.0,4465.0,64.81,64.81,78.1,78.1,69.27,69.27,68.45,68.45,75.0,75.0,United States,USA,US_CT,3605944.0,1818390.0,1933634.0,,,,,,,416756.0,474984.0,464289.0,464250.0,499839.0,515148.0,456067.0,277479.0,183211.0,52879.0,4465.0
United States,USA,Connecticut,US_CT,STATE_TOTAL,2020-09-30,2.0,0.0,2.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,0.0,2.0,1.0,3.0,1.0,1.0,2.0,,,2.0,1.0,3.0,2.0,,,3.0,1.0,0.0,,2.0,1.0,,,,,,,,,,,57550.0,4508.0,64.81,64.81,78.1,78.1,67.19,67.19,66.07,66.07,75.0,75.0,United States,USA,US_CT,3605944.0,1818390.0,1933634.0,,,,,,,416756.0,474984.0,464289.0,464250.0,499839.0,515148.0,456067.0,277479.0,183211.0,57550.0,4508.0
United States,USA,Connecticut,US_CT,STATE_TOTAL,2020-10-31,2.0,0.0,2.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,0.0,2.0,1.0,3.0,1.0,1.0,2.0,,,2.0,1.0,3.0,2.0,,,3.0,1.0,0.0,,2.0,1.0,,,,,,,,,,,71207.0,4616.0,64.81,64.81,78.1,78.1,67.19,67.19,66.07,66.07,75.0,75.0,United States,USA,US_CT,3605944.0,1818390.0,1933634.0,,,,,,,416756.0,474984.0,464289.0,464250.0,499839.0,515148.0,456067.0,277479.0,183211.0,71207.0,4616.0
United States,USA,Connecticut,US_CT,STATE_TOTAL,2020-11-30,2.0,0.0,2.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,0.0,2.0,1.0,3.0,1.0,1.0,2.0,,,2.0,1.0,3.0,2.0,,,3.0,1.0,0.0,,2.0,1.0,,,,,,,,,,,117295.0,5020.0,67.59,67.59,80.95,80.95,68.75,68.75,67.86,67.86,75.0,75.0,United States,USA,US_CT,3605944.0,1818390.0,1933634.0,,,,,,,416756.0,474984.0,464289.0,464250.0,499839.0,515148.0,456067.0,277479.0,183211.0,117295.0,5020.0
United States,USA,Connecticut,US_CT,STATE_TOTAL,2020-12-31,2.0,0.0,2.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,0.0,2.0,1.0,3.0,1.0,1.0,2.0,,,2.0,1.0,3.0,2.0,,,3.0,1.0,2.0,1.0,2.0,1.0,,,,,,,,,,,185708.0,5995.0,67.59,67.59,80.95,80.95,71.25,71.25,70.71,70.71,75.0,75.0,United States,USA,US_CT,3605944.0,1818390.0,1933634.0,,,,,,,416756.0,474984.0,464289.0,464250.0,499839.0,515148.0,456067.0,277479.0,183211.0,185708.0,5995.0
United States,USA,Connecticut,US_CT,STATE_TOTAL,2021-01-31,2.0,0.0,2.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,0.0,2.0,1.0,3.0,1.0,1.0,2.0,,,2.0,1.0,3.0,2.0,,,3.0,1.0,2.0,1.0,2.0,1.0,,,,,,,,,,,250023.0,7046.0,67.59,67.59,80.95,80.95,71.25,71.25,70.71,70.71,75.0,75.0,United States,USA,US_CT,3605944.0,1818390.0,1933634.0,,,,,,,416756.0,474984.0,464289.0,464250.0,499839.0,515148.0,456067.0,277479.0,183211.0,250023.0,7046.0
United States,USA,Connecticut,US_CT,STATE_TOTAL,2021-02-28,2.0,0.0,2.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,0.0,2.0,1.0,3.0,1.0,1.0,2.0,,,2.0,1.0,3.0,2.0,,,3.0,1.0,2.0,1.0,2.0,1.0,,,,,,,,,,,279946.0,7622.0,67.59,67.59,80.95,80.95,71.25,71.25,70.71,70.71,75.0,75.0,United States,USA,US_CT,3605944.0,1818390.0,1933634.0,,,,,,,416756.0,474984.0,464289.0,464250.0,499839.0,515148.0,456067.0,277479.0,183211.0,279946.0,7622.0
United States,USA,Connecticut,US_CT,STATE_TOTAL,2021-03-31,2.0,0.0,2.0,1.0,1.0,1.0,3.0,1.0,0.0,,1.0,0.0,1.0,1.0,3.0,1.0,1.0,2.0,,,2.0,1.0,3.0,2.0,,,3.0,1.0,4.0,1.0,1.0,1.0,,,,,,,,,,,310624.0,7889.0,53.7,53.7,63.81,63.81,63.85,63.85,62.26,62.26,75.0,75.0,United States,USA,US_CT,3605944.0,1818390.0,1933634.0,,,,,,,416756.0,474984.0,464289.0,464250.0,499839.0,515148.0,456067.0,277479.0,183211.0,310624.0,7889.0
United States,USA,Connecticut,US_CT,STATE_TOTAL,2021-04-30,2.0,0.0,2.0,1.0,1.0,1.0,3.0,1.0,0.0,,0.0,,1.0,1.0,3.0,1.0,1.0,2.0,,,2.0,1.0,3.0,2.0,,,3.0,0.0,5.0,1.0,1.0,1.0,,,,,,,,,,,339233.0,8097.0,51.85,51.85,63.81,63.81,63.28,63.28,61.61,61.61,75.0,75.0,United States,USA,US_CT,3605944.0,1818390.0,1933634.0,,,,,,,416756.0,474984.0,464289.0,464250.0,499839.0,515148.0,456067.0,277479.0,183211.0,339233.0,8097.0
