country_code,country_name,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12
NER,Niger,0.0,0.0,16.14,42.5,37.82,27.6,27.6,26.39,24.74,16.69,23.53,25.98,33.3,34.28,34.9,36.54,39.38,31.46,31.46,31.3,29.58,25.83,26.26,25.78
NGA,Nigeria,1.11,8.69,27.4,63.75,68.23,67.06,63.1,60.71,59.27,53.19,47.92,49.26,48.0,47.4,41.77,45.01,47.06,42.88,44.41,42.56,44.9,48.59,44.76,47.92
NIC,Nicaragua,0.0,1.67,9.86,15.52,16.2,14.58,15.72,15.35,11.04,10.47,10.94,10.94,10.94,12.03,15.23,16.88,15.67,13.53,12.55,18.85,17.29,17.68,16.25,16.25
NLD,Netherlands,0.34,3.05,39.38,66.67,63.38,61.84,48.96,51.13,54.85,59.9,62.08,62.45,69.96,71.7,70.03,69.34,65.73,62.85,47.89,52.77,55.94,56.43,60.69,65.62
NOR,Norway,0.2,6.54,30.36,52.74,44.69,38.85,38.02,38.37,36.98,36.06,47.73,53.42,60.34,64.55,65.1,66.3,61.02,56.82,53.99,52.33,48.85,35.94,38.02,45.08
NPL,Nepal,5.26,17.55,36.34,71.88,70.19,69.79,64.72,68.65,65.7,56.88,51.7,50.06,56.38,53.07,40.21,40.76,76.76,70.5,64.2,67.22,58.91,53.1,61.89,64.32
NZL,New Zealand,2.02,11.35,38.71,77.71,54.9,36.84,37.11,55.68,54.36,40.19,36.56,37.5,37.97,40.82,42.88,38.25,38.97,39.17,39.33,63.96,82.81,78.11,73.34,67.24
OMN,Oman,1.81,15.1,36.93,71.47,73.15,75.62,77.3,77.0,75.0,63.44,48.96,49.73,51.85,58.4,69.67,76.1,77.29,66.01,55.24,49.61,57.08,48.27,47.64,51.04
PAK,Pakistan,0.96,9.36,36.56,63.14,65.32,57.14,58.73,53.19,49.43,63.57,61.72,67.45,65.9,60.85,62.68,70.42,70.16,64.21,68.84,66.54,62.3,48.39,44.46,41.93
PAN,Panama,1.61,4.69,30.78,63.16,70.73,72.95,72.16,72.88,77.81,69.22,63.02,68.87,74.12,71.19,75.03,70.83,69.26,69.58,73.85,76.3,72.45,62.02,58.33,59.38
PER,Peru,0.07,2.08,45.48,79.95,80.01,76.39,71.49,77.01,78.12,73.99,69.58,66.34,60.57,72.88,75.49,74.04,70.55,70.42,72.05,69.13,66.06,65.89,65.07,66.67
PHL,Philippines,2.3,21.82,49.08,76.98,70.11,60.07,65.44,62.74,61.89,67.08,67.54,63.71,55.37,59.1,62.07,70.5,62.7,64.43,64.43,64.18,66.52,70.64,53.33,47.92
PNG,Papua New Guinea,1.26,14.06,24.38,62.82,56.14,51.82,45.56,50.29,44.84,43.81,41.01,40.02,54.55,52.19,55.94,57.6,48.58,47.29,47.48,47.4,45.33,53.31,60.18,57.29
POL,Poland,0.91,6.14,30.51,61.68,62.43,46.7,41.19,40.23,37.15,47.84,69.23,70.05,70.45,68.72,65.44,67.41,63.89,57.72,52.82,53.12,53.12,53.32,56.25,56.25
PRI,Puerto Rico,0.1,1.92,43.9,70.73,73.51,69.27,64.48,68.58,69.27,69.17,66.57,66.31,66.56,69.76,69.62,72.6,65.38,47.5,36.4,42.38,38.98,37.71,38.54,38.54
PRT,Portugal,1.01,5.21,44.27,69.79,64.03,59.05,61.2,60.16,59.67,61.17,65.52,65.52,70.68,77.46,78.45,73.98,72.47,70.41,69.23,65.24,65.52,60.02,58.33,59.9
PRY,Paraguay,0.91,3.12,35.7,72.71,73.35,66.21,64.11,69.1,70.31,62.65,57.55,57.46,53.07,49.27,53.28,58.83,54.3,54.84,53.75,51.97,44.38,41.45,39.9,39.9
PSE,Palestine,0.0,0.86,45.83,64.58,67.04,59.9,61.31,61.46,61.82,53.28,37.78,44.35,50.98,59.26,60.26,60.79,60.15,64.55,64.52,63.65,56.52,39.9,27.96,29.48
QAT,Qatar,0.6,7.81,35.65,63.59,69.17,68.75,68.31,69.27,61.98,61.98,61.98,61.56,61.04,68.52,70.57,82.9,79.71,66.18,60.73,60.21,63.27,60.96,61.46,61.46
RKS,Kosovo,0.0,0.0,37.15,69.27,67.86,52.34,54.74,65.86,57.43,53.39,64.58,70.23,72.48,70.95,64.22,61.54,56.15,51.72,48.73,45.99,45.94,41.15,41.15,41.15
ROU,Romania,0.25,4.2,35.02,71.35,66.03,47.33,44.1,44.77,48.27,51.65,67.31,73.12,75.54,73.54,72.46,73.7,64.94,56.98,53.08,60.34,61.2,61.69,61.6,63.02
RUS,Russia,0.37,6.77,32.61,72.92,74.82,64.69,59.93,56.15,41.96,50.58,51.51,52.14,53.02,45.14,40.76,44.67,44.01,52.76,44.1,57.37,66.42,64.37,57.02,64.32
RWA,Rwanda,2.47,10.54,42.39,76.25,71.47,70.82,71.44,72.17,72.81,67.05,66.04,62.3,58.84,64.94,69.0,67.6,64.43,57.47,60.31,60.31,49.22,51.35,51.19,49.79
SAU,Saudi Arabia,0.4,12.5,41.21,73.66,76.42,72.01,66.25,62.96,60.1,59.24,57.29,59.71,62.2,64.16,63.54,63.54,63.54,63.54,62.36,55.68,56.08,57.42,58.33,58.33
SDN,Sudan,0.4,3.12,27.55,57.81,59.73,59.38,55.55,54.27,45.87,33.23,26.53,24.77,24.38,22.58,24.74,46.44,55.17,41.5,28.37,32.6,34.58,35.73,35.73,35.73
SEN,Senegal,0.0,0.0,27.7,67.43,66.11,59.27,42.25,42.66,46.15,46.22,42.92,39.58,45.45,47.88,43.28,35.52,35.8,36.77,37.42,34.72,42.03,29.13,28.86,31.04
SGP,Singapore,16.63,30.69,33.69,65.4,74.88,68.58,62.08,62.28,62.19,59.05,58.95,61.22,64.1,66.56,67.21,69.06,71.31,75.66,72.74,70.92,70.59,71.56,68.75,68.75
SLB,Solomon Islands,0.0,3.88,12.99,31.77,31.0,21.67,19.36,22.43,23.35,28.21,29.83,31.47,27.08,27.08,25.63,21.46,17.4,17.4,24.58,35.94,31.51,24.5,20.84,17.71
SLE,Sierra Leone,0.0,0.58,14.4,62.17,63.46,54.79,45.14,39.72,36.91,35.53,37.5,38.02,40.02,49.61,46.05,46.79,47.71,48.31,50.17,44.34,36.82,35.12,35.63,35.73
SLV,El Salvador,1.97,10.94,37.74,71.79,83.52,82.34,80.21,78.33,68.77,57.29,56.56,54.17,53.23,50.22,50.73,44.76,38.41,37.81,40.43,40.94,38.68,37.06,31.25,31.25
SMR,San Marino,0.0,2.91,52.89,69.1,58.27,43.82,38.61,40.62,39.24,43.48,49.86,60.54,68.82,64.3,67.98,66.4,52.92,51.56,49.0,51.9,57.81,54.64,54.17,54.17
SOM,Somalia,0.0,0.0,13.32,38.72,42.67,37.85,24.36,22.85,32.46,34.85,33.61,32.24,21.26,18.19,40.17,36.98,36.3,39.69,40.9,42.81,42.81,42.81,45.84,45.94
SRB,Serbia,0.5,2.85,42.74,74.67,56.87,36.1,44.51,52.42,52.44,52.25,54.29,59.81,62.38,63.85,63.6,66.56,64.37,50.52,55.39,51.16,51.29,54.96,54.17,53.65
SSD,South Sudan,0.0,0.65,19.64,52.47,60.35,65.1,62.05,61.02,48.54,33.37,36.25,40.95,35.33,51.54,55.12,55.38,55.1,31.38,31.56,34.49,35.11,37.93,38.33,38.33
SUR,Suriname,0.0,0.0,21.34,54.69,54.54,69.41,67.76,73.79,74.57,59.63,59.17,62.25,62.63,65.89,65.12,66.23,69.72,73.75,73.75,70.54,58.09,57.6,63.59,63.02
